model,term,type,estimate,se,t_value,p_value,abs_t,edf,sig_stars
full_log_female_night,ssx_choice_r5000_z,parametric,0.0717651831806408,0.00291074344882616,24.6552760290784,4.43113548724042e-134,24.6552760290784,NA,***
full_log_female_night,NDVI_mean_z,parametric,-0.108872295,0.00476912644306082,-22.82856126,3.01134657028094e-115,22.8285612583651,NA,***
full_log_female_night,walkability_global_z,parametric,0.137953793002905,0.00331428553970003,41.6239914607331,0,41.6239914607331,NA,***
full_log_female_night,built_density_2020_z,parametric,-0.028048929,0.0043583354531668,-6.435697587,1.23096214726003e-10,6.43569758736913,NA,***
full_log_female_night,gdp_2022_z,parametric,0.0915677015485126,0.00323567393048914,28.299421856352,6.07541139746274e-176,28.299421856352,NA,***
full_log_female_night,Pop_Female_20_50_z,parametric,-0.206479967,0.00452438240850161,-45.63716067,0,45.6371606696782,NA,***
full_log_female_night,Female_Employment_Rate_15plus_z,parametric,0.2245040157043,0.140670680931101,1.59595456720836,0.11050001605186,1.59595456720836,NA,
full_log_female_night,ppl35prop_z,parametric,0.111685306286562,0.00538026852809976,20.7583145159499,1.20899357059203e-95,20.7583145159499,NA,***
full_log_female_night,SDG11_71pct_z,parametric,0.304671670291426,0.11638634139113,2.61776138548373,0.00885132230762906,2.61776138548373,NA,**
full_log_female_night,SDG_3_1_Maternal_mortality_ratio_z,parametric,0.129122665891182,0.141449552408001,0.912853124616025,0.361320545103511,0.912853124616025,NA,
full_log_female_night,SDG_3_7_Adolescent_birth_rate_z,parametric,0.285155513953562,0.135455597652095,2.1051585825634,0.035278355448647,2.1051585825634,NA,*
full_log_female_night,SDG_5_5_Share_of_seats_in_parliament_z,parametric,-0.316495719,0.119605979925417,-2.646152967,0.00814173422460476,2.64615296682908,NA,**
full_log_female_night,SDG_4_4_Education_F_z,parametric,0.213451876908898,0.124522820894771,1.71415870099246,0.0865006413432825,1.71415870099246,NA,
full_log_female_night,tavg_night_z,parametric,0.104961254577014,0.00933297115711746,11.2462851122142,2.44925245234928e-29,11.2462851122142,NA,***
full_log_female_night,prcp_night_z,parametric,0.0196309036545848,0.00375990900311255,5.22111137219912,1.77973531600226e-07,5.22111137219912,NA,***
full_log_female_night,wspd_night_z,parametric,-0.011804095,0.0066115794477041,-1.785366918,0.0742028553168413,1.78536691829381,NA,
