landuse,ntl_raw,fit,se,lo,hi
recreational,1.441977783e-05,1.2390887882953496,0.1139013785092269,1.0158420864172648,1.4623354901734344
recreational,2.823318690514205e-05,1.249194086247792,0.1138347379867026,1.0260779997938547,1.4723101727017291
recreational,4.204659598028412e-05,1.2592972990500657,0.1137715023855296,1.0363051543744275,1.4822894437257037
recreational,5.586000505542618e-05,1.2693963415520022,0.1137116891322083,1.046521430852874,1.4922712522511306
recreational,6.967341413056824e-05,1.2794891286034322,0.1136553110207117,1.0567247190028373,1.5022535382040272
recreational,8.34868232057103e-05,1.289573575054187,0.1136023762071614,1.0669129176881504,1.5122342324202236
recreational,9.730023228085236e-05,1.2996475957540992,0.1135528882108754,1.0770839348607832,1.522211256647415
recreational,0.0001111136413559,1.309709105552998,0.1135068459218194,1.087235687546232,1.5321825235597644
recreational,0.0001249270504311,1.3197560193007165,0.1134642436144849,1.097366101816326,1.542145936785107
recreational,0.0001387404595062,1.3297862518470849,0.1134250709682005,1.1074731127494115,1.552099390944758
recreational,0.0001525538685814,1.3397977180419351,0.113389313093877,1.1175546643779362,1.562040771705934
recreational,0.0001663672776565,1.349788332735098,0.1133569505671677,1.127608709623449,1.5719679558467468
recreational,0.0001801806867317,1.3597560107764046,0.1133279594680219,1.1376332102190816,1.5818788113337277
recreational,0.0001939940958068,1.3696986670156868,0.1133023114265895,1.1476261366195712,1.5917711974118025
recreational,0.0002078075048819,1.3796142163027758,0.1132799736754308,1.1575854678989312,1.6016429647066204
recreational,0.0002216209139571,1.3895005734875028,0.1132609091079701,1.1675091916358813,1.6114919553391245
recreational,0.0002354343230322,1.3993556534196987,0.1132450763431225,1.1773953037871785,1.621316003052219
recreational,0.0002492477321074,1.4091773709491957,0.1132324297960154,1.187241808549005,1.631112933349386
recreational,0.0002630611411825,1.4189636409258235,0.1132229197547128,1.1970467182065865,1.640880563645061
recreational,0.0002768745502576,1.4287123781994149,0.1132164924628456,1.2068080529722374,1.6506167034265924
recreational,0.0002906879593328,1.4384214976198004,0.1132130902080411,1.2165238408120398,1.660319154427561
recreational,0.0003045013684079,1.4480889140368114,0.1132126514160377,1.2261921172613774,1.6699857108122451
recreational,0.0003183147774831,1.4577125423002797,0.1132151107503633,1.2358109252295677,1.679614159370992
recreational,0.0003321281865582,1.467290297260036,0.1132203992174524,1.245378314793829,1.6892022797262427
recreational,0.0003459415956334,1.4768200937659115,0.1132284442770688,1.254892342982857,1.6987478445489663
recreational,0.0003597550047085,1.486299846667738,0.1132391699578983,1.2643510735502572,1.7082486197852187
recreational,0.0003735684137836,1.4957274708153463,0.1132524969781718,1.2737525767381297,1.7177023648925631
recreational,0.0003873818228588,1.505100881058568,0.1132683428711762,1.2830949290310625,1.7271068330860735
recreational,0.0004011952319339,1.514417992247234,0.11328662211551,1.2923762129008345,1.7364597715936338
recreational,0.0004150086410091,1.5236767192311762,0.1133072462699365,1.3015945165421006,1.7457589219202518
recreational,0.0004288220500842,1.5328749768602252,0.1133301241126922,1.3107479335993484,1.755002020121102
recreational,0.0004426354591594,1.542010679984213,0.1133551617851038,1.3198345628854096,1.7641867970830163
recreational,0.0004564488682345,1.5510817434529702,0.1133822629393717,1.3288525080918017,1.7733109788141388
recreational,0.0004702622773096,1.5600860821163285,0.1134113288903808,1.337799877491182,1.7823722867414749
recreational,0.0004840756863848,1.569021610824119,0.1134422587713992,1.3466747836321764,1.7913684380160615
recreational,0.0004978890954599,1.577886244426173,0.1134749496935338,1.3554753430268467,1.8002971458254993
recreational,0.0005117025045351,1.5866778977723217,0.1135092969088124,1.364199675831049,1.809156119713594
recreational,0.0005255159136102,1.5953944857123965,0.1135451939767715,1.3728459055179243,1.8179430659068687
recreational,0.0005393293226853,1.6040339230962286,0.1135825329344306,1.3814121585447443,1.8266556876477127
recreational,0.0005531427317605,1.6125941247736495,0.1136212044695448,1.3898965640133416,1.8352916855339567
recreational,0.0005669561408356,1.6210730055944902,0.1136610980970311,1.398297253324309,1.843848757864672
recreational,0.0005807695499108,1.629468480408582,0.1137021023384762,1.4066123598251683,1.852324600991996
recreational,0.0005945829589859,1.637778464065757,0.1137441049046357,1.4148400184526706,1.8607169096788427
recreational,0.0006083963680611,1.6460008714158447,0.1137869928808513,1.422978365369376,1.8690233774623133
recreational,0.0006222097771362,1.6541336173086778,0.1138306529153143,1.4310255375946617,1.877241697022694
recreational,0.0006360231862113,1.6621746165940874,0.1138749714101196,1.438979672630253,1.8853695605579217
recreational,0.0006498365952865,1.6701217841219045,0.1139198347150598,1.446838908080387,1.8934046601634216
recreational,0.0006636500043616,1.6779730347419606,0.1139651293241236,1.4546013812666785,1.901344688217243
recreational,0.0006774634134368,1.6857262833040865,0.1140107420746681,1.462265228837737,1.909187337770436
recreational,0.0006912768225119,1.693379444658114,0.1140565603492511,1.4698285863735818,1.9169303029426463
recreational,0.0007050902315871,1.7009304336538744,0.1141024722801159,1.477289587984847,1.9245712793229013
recreational,0.0007189036406622,1.7083771651411983,0.1141483669563337,1.4846463659067843,1.9321079643756127
recreational,0.0007327170497373,1.715717553969918,0.1141941346336208,1.491897050088021,1.9395380578518149
recreational,0.0007465304588125,1.7229495149898644,0.114239666946856,1.4990397677740266,1.9468592622057024
recreational,0.0007603438678876,1.7300709630508684,0.114284857125338,1.5060726430852058,1.954069283016531
recreational,0.0007741572769628,1.7370798130027616,0.1143296002108303,1.512993796589534,1.961165829415989
recreational,0.0007879706860379,1.7439739796953746,0.1143737932784531,1.5198013448696064,1.9681466145211428
recreational,0.000801784095113,1.75075137797854,0.1144173356604924,1.5264934000839747,1.9750093558731048
recreational,0.0008155975041882,1.757409922702088,0.1144601291732067,1.5330680695226029,1.9817517758815733
recreational,0.0008294109132633,1.7639475287158504,0.1145020783467192,1.5395234551562806,1.98837160227542
recreational,0.0008432243223385,1.7703621108696583,0.1145430906580971,1.545857653179788,1.9948665685595288
recreational,0.0008570377314136,1.7766515840133428,0.1145830767677239,1.5520687535486035,2.001234414478082
recreational,0.0008708511404888,1.7828138629967354,0.114621950759083,1.5581548395089326,2.007472886484538
recreational,0.0008846645495639,1.7888468626696676,0.1146596303820759,1.5641139871207987,2.0135797382185365
recreational,0.000898477958639,1.79474849788197,0.1146960373000069,1.5699442647739563,2.019552730989984
recreational,0.0009122913677142,1.800516683483475,0.1147310973403742,1.5756437326963415,2.0253896342706086
recreational,0.0009261047767893,1.8061493343240125,0.1147647407496086,1.5812104424547797,2.031088226193245
recreational,0.0009399181858645,1.8116443652534149,0.1147969024519121,1.586642436447667,2.0366462940591625
recreational,0.0009537315949396,1.8169996911215127,0.1148275223123468,1.5919377473893128,2.0420616348537126
recreational,0.0009675450040148,1.8222132267781377,0.1148565454043324,1.597094397785646,2.0473320557706294
recreational,0.0009813584130899,1.827282887073121,0.1148839222817084,1.6021103994009724,2.0524553747452696
recreational,0.000995171822165,1.832206586856294,0.1149096092555206,1.6069837527154736,2.0574294209971145
recreational,0.0010089852312402,1.836982240977488,0.1149335686756901,1.6117124463731352,2.062252035581841
recreational,0.0010227986403153,1.8416077642865336,0.1149557692177195,1.6162944566198034,2.066921071953264
recreational,0.0010366120493905,1.8460810716332632,0.1149761861745895,1.6207277467310677,2.0714343965354587
recreational,0.0010504254584656,1.8504000778675072,0.1149948017539913,1.6250102664296842,2.07578988930533
recreational,0.0010642388675407,1.8545626978390968,0.115011605381035,1.6291399512922686,2.079985444385926
recreational,0.0010780522766159,1.8585668463978648,0.1150265940065645,1.6331147221449984,2.084018970650732
recreational,0.001091865685691,1.8624104383936408,0.1150397724211955,1.6369324844480972,2.087888392339184
recreational,0.0011056790947662,1.8660913886762565,0.1150511535751833,1.6405911276688971,2.091591649683616
recreational,0.0011194925038413,1.8696076857320647,0.1150607599712809,1.644088596188355,2.095126775275776
recreational,0.0011333059129165,1.872959850273692,0.1150686590319108,1.6474252785711463,2.098494421976237
recreational,0.0011471193219916,1.8761515131524908,0.1150749686702811,1.6506045745587397,2.101698451746242
recreational,0.0011609327310667,1.8791864959721127,0.1150798130581512,1.6536300623781368,2.1047429295660898
recreational,0.0011747461401419,1.88206862033621,0.1150833191532819,1.6565053147957771,2.1076319258766425
recreational,0.001188559549217,1.884801707848432,0.1150856160496235,1.65923390039117,2.110369515305694
recreational,0.0012023729582922,1.88738958011243,0.1150868343491876,1.6618193847880225,2.112959775436838
recreational,0.0012161863673673,1.8898360587318552,0.1150871055553812,1.6642653318433078,2.115406785620402
recreational,0.0012299997764425,1.8921449653103584,0.1150865614876241,1.6665753047946152,2.117714625826102
recreational,0.0012438131855176,1.894320121451591,0.1150853337171164,1.6687528673660428,2.1198873755371395
recreational,0.0012576265945927,1.8963653487592032,0.1150835530236637,1.6708015848328224,2.121929112685584
recreational,0.0012714400036679,1.8982844688368463,0.1150813488735044,1.6727250250447778,2.1238439126289155
recreational,0.001285253412743,1.9000813032881712,0.1150788489181269,1.6745267594086424,2.1256358471677
recreational,0.0012990668218182,1.901759673716829,0.1150761785140912,1.6762103638292103,2.127308983604448
recreational,0.0013128802308933,1.9033234017264704,0.1150734602639092,1.6777794196092084,2.1288673838437324
recreational,0.0013266936399684,1.9047763089207463,0.1150708135780606,1.6792375143077476,2.130315103533745
recreational,0.0013405070490436,1.906122216903308,0.11506835425825,1.680588242557138,2.131656191249478
recreational,0.0013543204581187,1.9073649472778065,0.115066194102033,1.6818352068378215,2.132894687717791
recreational,0.0013681338671939,1.908508321647892,0.1150644405289567,1.682982018211137,2.134034625084648
recreational,0.001381947276269,1.909556161617216,0.1150631962283767,1.6840322970095976,2.1350800262248346
recreational,0.0013957606853442,1.9105122887894297,0.1150625588291246,1.6849896734843453,2.136034904094514
recreational,0.0014095740944193,1.911380524768184,0.1150626205912071,1.6858577884094177,2.136903261126949
recreational,0.0014233875034944,1.9121646911571284,0.115063468119725,1.6866402936424674,2.1376890886717894
recreational,0.0014372009125696,1.912868609559916,0.1150651821012009,1.687340852641562,2.1383963664782697
recreational,0.0014510143216447,1.913496101580196,0.115067837062503,1.68796314093769,2.139029062222702
recreational,0.0014648277307199,1.9140509888216208,0.115071501152547,1.6885108465626284,2.139591131080613
recreational,0.001478641139795,1.91453709288784,0.1150762359469532,1.688987670431812,2.140086515343868
recreational,0.0014924545488702,1.9149582353825048,0.115082096275821,1.6893973266818962,2.1405191440831146
recreational,0.0015062679579453,1.915318237909268,0.1150891300747757,1.6897435429627077,2.140892932855828
recreational,0.0015200813670204,1.915620922071778,0.1150973782594206,1.6900300606833136,2.1412117834602427
recreational,0.0015338947760956,1.9158701094736872,0.1151068746233164,1.6902606352119869,2.1414795837353875
recreational,0.0015477081851707,1.916069621718646,0.1151176457595857,1.6904390360298578,2.141700207407434
recreational,0.0015615215942459,1.9162232804103048,0.1151297110062233,1.6905690468381074,2.141877513982503
recreational,0.001575335003321,1.9163349071523164,0.1151430824151677,1.6906544656185876,2.142015348686045
recreational,0.0015891484123961,1.91640832354833,0.1151577647451701,1.6906991046477966,2.1421175424488634
recreational,0.0016029618214713,1.916447351201997,0.1151737554784696,1.6907067904641964,2.1421879119397977
recreational,0.0016167752305464,1.9164558117169688,0.1151910448612642,1.690681363788891,2.1422302596450464
recreational,0.0016305886396216,1.916437526696896,0.1152096159679387,1.6906266793997358,2.142248373994056
recreational,0.0016444020486967,1.916396317745429,0.1152294447889927,1.6905466059590033,2.142246029531855
recreational,0.0016582154577719,1.91633600646622,0.115250500342584,1.690445025794755,2.1422269871376844
recreational,0.001672028866847,1.9162604144629185,0.115272744809586,1.6903258346361298,2.142194994289707
recreational,0.0016858422759221,1.9161733633391769,0.1152961336920346,1.6901929413027887,2.142153785375565
recreational,0.0016996556849973,1.916078674698645,0.1153206159948233,1.690050267348791,2.1421070820484984
recreational,0.0017134690940724,1.915980170144974,0.115346134430487,1.6899017466612194,2.1420585936287284
recreational,0.0017272825031476,1.9158816712818147,0.1153726256469027,1.6897513250138854,2.142012017549744
recreational,0.0017410959122227,1.915786999712819,0.1154000204777213,1.6896029595764852,2.1419710398491527
recreational,0.0017549093212978,1.915699977041637,0.1154282442153365,1.6894606183795773,2.1419393357036967
recreational,0.001768722730373,1.91562442487192,0.1154572169061892,1.6893282797357887,2.141920570008051
recreational,0.0017825361394481,1.9155641648073185,0.1154868536682023,1.6892099316176417,2.141918397996995
recreational,0.0017963495485233,1.9155230184514835,0.11551706503014,1.689109570992409,2.141936465910558
recreational,0.0018101629575984,1.9155048074080665,0.1155477572926878,1.689031203114398,2.141978411701735
recreational,0.0018239763666736,1.9155133532807176,0.1155788329110552,1.6889788407750497,2.142047865786386
recreational,0.0018377897757487,1.915552477673089,0.1156101908989095,1.6889565035112262,2.142148451834952
recreational,0.0018516031848238,1.9156260021888305,0.1156417272534652,1.6889682167720386,2.1422837876056224
recreational,0.001865416593899,1.9157377484315927,0.1156733354015622,1.6890180110445314,2.142457485818656
recreational,0.0018792300029741,1.9158915380050288,0.1157049066665903,1.689109920938512,2.1426731550715457
recreational,0.0018930434120493,1.916091192512788,0.1157363307561316,1.6892479842307695,2.1429344007948057
recreational,0.0019068568211244,1.9163405335585204,0.1157674962702224,1.6894362408688846,2.1432448262481563
recreational,0.0019206702301996,1.9166433827458784,0.1157982912301554,1.689678731934774,2.143608033556983
recreational,0.0019344836392747,1.9170035616785124,0.1158286036277774,1.6899794985680685,2.144027624788956
recreational,0.0019482970483498,1.9174248919600736,0.115858321995264,1.6903425808493564,2.1445072030707912
recreational,0.001962110457425,1.9179111951942127,0.1158873359953857,1.690772016643257,2.1450503737451694
recreational,0.0019759238665001,1.9184662929845813,0.1159155370323153,1.6912718404012437,2.14566074556792
recreational,0.0019897372755753,1.9190940069348288,0.1159428188830573,1.691846081924037,2.146341931945622
recreational,0.0020035506846504,1.9197981586486088,0.1159690783496197,1.6924987650833538,2.147097552213864
recreational,0.0020173640937255,1.920582569729569,0.1159942159320795,1.6932339065026931,2.147931232956445
recreational,0.0020311775028007,1.921451061781363,0.1160181365227309,1.69405551419681,2.148846609365916
recreational,0.0020449909118758,1.9224074564076403,0.1160407501215393,1.6949675861694231,2.1498473266458573
recreational,0.002058804320951,1.923455575212052,0.1160619725731539,1.6959741089686702,2.1509370414554336
recreational,0.0020726177300261,1.9245992397982488,0.1160817263257662,1.6970790561997475,2.152119423396752
recreational,0.0020864311391013,1.9258422717698835,0.1160999412121246,1.6982863869941192,2.153398156545648
recreational,0.0021002445481764,1.9271884927306049,0.1161165552530429,1.6996000444346404,2.1547769410265687
recreational,0.0021140579572515,1.9286417242840648,0.1161315154837568,1.7010239539359011,2.156259494632228
recreational,0.0021278713663267,1.9302057880339136,0.116144778803497,1.7025620215790591,2.157849554488768
recreational,0.0021416847754018,1.931884505583803,0.1161563128486548,1.7042181324004395,2.1595508787671664
recreational,0.002155498184477,1.933681698537384,0.1161660968899146,1.7059961486331507,2.161367248441616
recreational,0.0021693115935521,1.9356011884983064,0.11617412275372,1.707899907901015,2.1633024690955978
recreational,0.0021831250026273,1.9376467970702225,0.116180395768417,1.709933221364125,2.16536037277632
recreational,0.0021969384117024,1.939822345856782,0.1161849357353909,1.712099871815416,2.1675448198981484
recreational,0.0022107518207775,1.9421316564616369,0.1161877779254663,1.7144036117277228,2.169859701195551
recreational,0.0022245652298527,1.9445778761025496,0.1161889855887008,1.7168474643486962,2.172308287856404
recreational,0.0022383786389278,1.9471597982034088,0.1161887113524844,1.71942992395254,2.1748896724542788
recreational,0.002252192048003,1.9498744867728235,0.1161871472381381,1.7221476781860725,2.1776012953595743
recreational,0.0022660054570781,1.952719001431186,0.1161844930637273,1.7249973950262805,2.180440607836092
recreational,0.0022798188661532,1.955690401798892,0.1161809551537925,1.7279757296974585,2.183405073900325
recreational,0.0022936322752284,1.958785747496336,0.1161767451584304,1.731079326985812,2.1864921680068594
