city,city_label,city_order,ntl_raw,fit,se,lo,hi
HongKong,Hong Kong,1,1.5008360382e-05,1.334172318637778,0.2632436115761676,0.8182148399484894,1.8501297973270667
HongKong,Hong Kong,1,9.559851122729491e-05,1.3529410893112763,0.263236187884371,0.8369981610579093,1.8688840175646435
HongKong,Hong Kong,1,0.0001761886620725,1.3716950384550433,0.2632295426055844,0.8557651349480978,1.8876249419619888
HongKong,Hong Kong,1,0.0002567788129178,1.390419452002145,0.2632236774111589,0.8745010442762735,1.9063378597280165
HongKong,Hong Kong,1,0.0003373689637631,1.4090996158856477,0.2632185900622816,0.8931911793635755,1.9250080524077195
HongKong,Hong Kong,1,0.0004179591146084,1.4277208160386163,0.2632142744508211,0.911820838115007,1.9436207939622256
HongKong,Hong Kong,1,0.0004985492654537,1.4462683383941182,0.2632107206567857,0.9303753259068184,1.9621613508814184
HongKong,Hong Kong,1,0.000579139416299,1.464727468885219,0.2632079150223921,0.9488399554413304,1.980614982329108
HongKong,Hong Kong,1,0.0006597295671443,1.4830834934449848,0.2632058402427343,0.9672000465692256,1.998966940320744
HongKong,Hong Kong,1,0.0007403197179896,1.5013216980064812,0.2632044754730446,0.9854409260793138,2.0172024699336486
HongKong,Hong Kong,1,0.0008209098688349,1.5194273685027748,0.2632037964525319,1.0035479274558123,2.0353068095497373
HongKong,Hong Kong,1,0.0009015000196802,1.5373857908669315,0.2632037756447823,1.0215063906031585,2.053265191130705
HongKong,Hong Kong,1,0.0009820901705255,1.5551822510320177,0.2632043823947037,1.0393016615383983,2.071062840525637
HongKong,Hong Kong,1,0.0010626803213708,1.5728020349310992,0.2632055831019943,1.0569190920511904,2.088684977811008
HongKong,Hong Kong,1,0.0011432704722161,1.590230428497242,0.263207341411115,1.0743440393314565,2.106116817663027
HongKong,Hong Kong,1,0.0012238606230614,1.6074527176635125,0.2632096184177424,1.0915618655647372,2.123343569762288
HongKong,Hong Kong,1,0.0013044507739067,1.6244541883629755,0.2632123728916798,1.1085579374952834,2.140350439230668
HongKong,Hong Kong,1,0.001385040924752,1.6412201265286994,0.2632155615162042,1.1253176259569393,2.15712262710046
HongKong,Hong Kong,1,0.0014656310755973,1.6577358180937485,0.2632191391438254,1.1418263053718505,2.173645330815646
HongKong,Hong Kong,1,0.0015462212264426,1.673986548991189,0.2632230590684372,1.1580693532170518,2.189903744765326
HongKong,Hong Kong,1,0.0016268113772878,1.6899576051540877,0.2632272733138387,1.1740321494589638,2.2058830608492115
