landuse,bin_left,bin_right,bin_mid,count,density,n
,1.441977783e-05,0.0002613194709551,0.0001378696243925,57673,0.2008714308602158,287114
,0.0002613194709551,0.0005082191640802,0.0003847693175176,27493,0.0957563894480937,287114
,0.0005082191640802,0.0007551188572053,0.0006316690106427,20072,0.0699095132943708,287114
,0.0007551188572053,0.0010020185503304,0.0008785687037678,18690,0.0650960942343459,287114
,0.0010020185503304,0.0012489182434555,0.0011254683968929,15317,0.0533481474257611,287114
,0.0012489182434555,0.0014958179365806,0.001372368090018,15474,0.053894968549078,287114
,0.0014958179365806,0.0017427176297057,0.0016192677831431,14535,0.0506244906204504,287114
,0.0017427176297057,0.0019896173228308,0.0018661674762682,13726,0.0478067945136774,287114
,0.0019896173228308,0.0022365170159559,0.0021130671693933,12533,0.0436516505638875,287114
,0.0022365170159559,0.002483416709081,0.0023599668625184,10654,0.037107211769541,287114
,0.002483416709081,0.0027303164022061,0.0026068665556436,9427,0.0328336479586505,287114
,0.0027303164022061,0.0029772160953312,0.0028537662487687,8176,0.0284764936575715,287114
,0.0029772160953312,0.0032241157884563,0.0031006659418938,7601,0.0264738048301371,287114
,0.0032241157884563,0.0034710154815814,0.0033475656350189,6296,0.0219285719261338,287114
,0.0034710154815814,0.0037179151747065,0.003594465328144,5564,0.0193790619753826,287114
,0.0037179151747065,0.0039648148678316,0.0038413650212691,4796,0.0167041662893484,287114
,0.0039648148678316,0.0042117145609567,0.0040882647143942,3708,0.0129147307341334,287114
,0.0042117145609567,0.0044586142540818,0.0043351644075193,3900,0.013583454655642,287114
,0.0044586142540818,0.0047055139472069,0.0045820641006444,2991,0.01041746483975,287114
,0.0047055139472069,0.004952413640332,0.0048289637937695,3665,0.0127649644392122,287114
,0.004952413640332,0.0051993133334572,0.0050758634868946,2944,0.0102537667964641,287114
,0.0051993133334572,0.0054462130265823,0.0053227631800197,2199,0.0076589786635273,287114
,0.0054462130265823,0.0056931127197074,0.0055696628731448,2139,0.0074500024380559,287114
