effect,term,estimate,std.error,statistic,df,p.value,conf.low,conf.high,model,outcome
fixed,(Intercept),1.15449313069382,0.0685244641806858,16.8478972363745,8.62702412770731,6.69945049918655e-08,0.998452398515271,1.31053386287237,complete_log_female_night,log_female_night
fixed,ntl_mean_log_z,0.108111531428086,0.00735142511152784,14.706200469696,45994.2724880633,7.59624584315367e-49,0.0937026237962482,0.122520439059923,complete_log_female_night,log_female_night
fixed,ssx_choice_r5000_z,0.143489193682977,0.00622313527494321,23.0573798163639,46714.9543632469,5.59737384254886e-117,0.131291756642874,0.155686630723081,complete_log_female_night,log_female_night
fixed,NDVI_mean_z,-0.1100668,0.0100434919674105,-10.95901708,41128.264789092,6.57451090888558e-28,-0.129752262,-0.090381338,complete_log_female_night,log_female_night
fixed,walkability_global_z,0.194609628354611,0.00668386791018779,29.1163187198808,47442.6419720767,9.50186316290452e-185,0.181509153751841,0.207710102957381,complete_log_female_night,log_female_night
fixed,built_density_2020_z,0.0244386820827682,0.00904393112025901,2.70221895299755,44639.5968296322,0.00689044188802353,0.00671242217615882,0.0421649419893776,complete_log_female_night,log_female_night
fixed,gdp_2022_z,0.0564172500199077,0.00761342519837315,7.41023239211216,44654.3572128336,1.28301122019959e-13,0.0414948063566662,0.0713396936831492,complete_log_female_night,log_female_night
fixed,Pop_Female_20_50_z,-0.251205813,0.00974338422406374,-25.78219307,45209.9724720341,1.59054349613615e-145,-0.270303007,-0.23210862,complete_log_female_night,log_female_night
fixed,Female_Employment_Rate_15plus_z,0.351402066300071,0.0903169914355142,3.89076363943068,10.529046701753,0.00272918763627156,0.151525487422637,0.551278645177505,complete_log_female_night,log_female_night
fixed,ppl35prop_z,0.165905750506869,0.00473557619212648,35.0339100831508,286999.048768866,2.54238318672164e-268,0.156624152580859,0.175187348432879,complete_log_female_night,log_female_night
fixed,SDG11_71pct_z,0.274033602808173,0.074191710238581,3.69358789448246,10.4040182730608,0.00388470677160028,0.109590199465485,0.438477006150861,complete_log_female_night,log_female_night
fixed,SDG_3_1_Maternal_mortality_ratio_z,-0.049107242,0.0853507402028788,-0.575358125,8.39533749659448,0.580139538626146,-0.244324751,0.146110267011794,complete_log_female_night,log_female_night
fixed,SDG_3_7_Adolescent_birth_rate_z,0.345400568569265,0.090831389245008,3.80265645434073,15.7369210452087,0.00160556324091183,0.152584678111605,0.538216459026925,complete_log_female_night,log_female_night
fixed,SDG_5_5_Share_of_seats_in_parliament_z,-0.127669729,0.0738272682827335,-1.729303172,9.21903497221051,0.117014061199492,-0.294075707,0.0387362485651997,complete_log_female_night,log_female_night
fixed,SDG_4_4_Education_F_z,0.0573096470253347,0.0900920160614037,0.636123482754281,15.6675719969267,0.533879137578519,-0.134006764,0.24862605835169,complete_log_female_night,log_female_night
fixed,tavg_night_z,0.141751669454435,0.0060880235981226,23.2836925103489,127392.082966002,1.15527705757039e-119,0.129819249094004,0.153684089814866,complete_log_female_night,log_female_night
fixed,prcp_night_z,0.0200339694025438,0.00247577047194027,8.09201403345081,262983.558310363,5.89330870547194e-16,0.0151815261105006,0.024886412694587,complete_log_female_night,log_female_night
fixed,wspd_night_z,-0.045559097,0.0042690237949532,-10.67201769,259510.923334349,1.39365614924e-26,-0.053926269,-0.037191926,complete_log_female_night,log_female_night
fixed,pres_night_z,0.00487921876310112,0.00301666813344302,1.61741979802475,263591.166495795,0.105788891593162,-0.001033369,0.010791806807531,complete_log_female_night,log_female_night
fixed,rhum_night_z,-0.04166961,0.00345316458447509,-12.06707906,246313.371560053,1.6110574399606e-33,-0.048437722,-0.034901499,complete_log_female_night,log_female_night
fixed,Safety_Walk_Night_z,-0.263817005,0.0633422430732687,-4.164945738,9.84834101861441,0.00199830392104029,-0.405247475,-0.122386535,complete_log_female_night,log_female_night
fixed,ulpi_z,-0.15899453,0.0580280503393762,-2.739959883,9.95069903686245,0.02092270499474,-0.288375967,-0.029613093,complete_log_female_night,log_female_night
fixed,ntl_alpha_z,0.120058780899554,0.0634837971739413,1.89117201938317,9.75920890628101,0.0886190836785319,-0.021866435,0.261983996404088,complete_log_female_night,log_female_night
fixed,ntl_D_z,-0.001874425,0.0926412944255665,-0.020233148,9.50164260468647,0.984275937456775,-0.209769067,0.206020216846589,complete_log_female_night,log_female_night
fixed,ntl_c_z,0.0493674481051067,0.063026240162461,0.783284041342996,9.31158484290717,0.452921588356229,-0.092483867,0.191218762927248,complete_log_female_night,log_female_night
fixed,is_weekend,-0.157591989,0.00474346073236081,-33.22299847,265424.364143265,1.57721940105602e-241,-0.166889043,-0.148294934,complete_log_female_night,log_female_night
