bin,x_mid,x_lo,x_hi,n_grids,before_intensity,after_intensity,before_footprint,after_footprint
0,0.0001464285714285,0.0,0.0002928571428571,90965,0.4111472809061415,0.5042535892753978,17.15824767767823,21.80069257406695
1,0.0004392857142857,0.0002928571428571,0.0005857142857142,24463,0.8914682680619371,1.1898500791576792,22.32350897273433,29.71426235539386
2,0.0007321428571428,0.0005857142857142,0.0008785714285714,17000,1.0828697607875544,1.4704646700579325,22.97058823529412,34.59411764705882
3,0.001025,0.0008785714285714,0.0011714285714285,13839,1.1913860776824672,1.5177751287807797,22.537755618180505,37.38709444324012
4,0.0013178571428571,0.0011714285714285,0.0014642857142857,11918,1.2691663696164688,1.4557404473945883,23.79593891592549,27.38714549421044
5,0.0016107142857142,0.0014642857142857,0.0017571428571428,10354,1.586950643914691,1.7564017647622645,25.56499903418968,27.05234691906509
6,0.0019035714285714,0.0017571428571428,0.00205,8969,1.695449728940085,1.8220180785250748,26.691938900657817,27.160218530493925
7,0.0021964285714285,0.00205,0.0023428571428571,7643,1.666530583939264,1.7381467778611994,27.82938636660997,28.548999084129267
8,0.0024892857142857,0.0023428571428571,0.0026357142857142,6260,1.879987129355993,1.9213837980355823,27.9073482428115,28.226837060702877
9,0.0027821428571428,0.0026357142857142,0.0029285714285714,5418,1.9412041056410776,1.9546801854826872,27.98080472499077,28.017718715393137
10,0.003075,0.0029285714285714,0.0032214285714285,4457,1.8388997147018555,1.842939427607426,29.212474758806373,29.2349113753646
11,0.0033678571428571,0.0032214285714285,0.0035142857142857,3807,2.261002488876969,2.261125941516508,28.841607565011824,28.841607565011824
12,0.0036607142857142,0.0035142857142857,0.0038071428571428,3178,3.097569244655761,3.097595720463453,29.798615481434865,29.798615481434865
13,0.0039535714285714,0.0038071428571428,0.0041,2723,2.2526448975815314,2.2531769467418097,27.54315093646713,27.54315093646713
14,0.0042464285714285,0.0041,0.0043928571428571,2405,3.598401940128945,3.6117998240142177,27.359667359667363,28.232848232848237
15,0.0045392857142857,0.0043928571428571,0.0046857142857142,2122,2.192240314002791,2.215221141123951,27.945334590009423,28.98209236569274
16,0.0048321428571428,0.0046857142857142,0.0049785714285714,1868,2.7602920130043067,2.7976803953518568,30.88865096359743,32.28051391862955
17,0.005125,0.0049785714285714,0.0052714285714285,1673,2.3842551654945607,2.4494000981211235,29.468021518230724,34.96712492528392
18,0.0054178571428571,0.0052714285714285,0.0055642857142857,1467,3.5571378425043934,3.643006386533391,26.993865030674847,36.19631901840491
19,0.0057107142857142,0.0055642857142857,0.0058571428571428,1265,3.765364859463202,3.890969270214022,28.77470355731225,46.16600790513834
20,0.0060035714285714,0.0058571428571428,0.00615,1153,3.392596998723201,3.5283965639931614,26.799653078924543,45.27320034692108
21,0.0062964285714285,0.00615,0.0064428571428571,961,4.382359780295555,4.481652915577036,28.51196670135276,48.1789802289282
22,0.0065892857142857,0.0064428571428571,0.0067357142857142,889,4.704191814134978,4.781689291450399,26.77165354330709,48.031496062992126
23,0.0068821428571428,0.0067357142857142,0.0070285714285714,844,2.840470660751397,2.889320248793049,29.14691943127962,40.16587677725119
24,0.007175,0.0070285714285714,0.0073214285714285,759,3.5106339998295466,3.539387847255448,31.0935441370224,38.73517786561265
25,0.0074678571428571,0.0073214285714285,0.0076142857142857,632,5.316969623382516,5.328821855691018,27.531645569620256,32.91139240506329
26,0.0077607142857142,0.0076142857142857,0.0079071428571428,624,2.539960073748441,2.545683642545884,27.08333333333333,28.685897435897434
27,0.0080535714285714,0.0079071428571428,0.0082,531,2.9241427535220064,2.925601420936532,29.94350282485876,30.508474576271187
28,0.0083464285714285,0.0082,0.0084928571428571,475,1.7409209476125274,1.7409209476125274,26.73684210526316,26.73684210526316
29,0.0086392857142857,0.0084928571428571,0.0087857142857142,421,4.083781638982082,4.083781638982082,28.978622327790976,28.978622327790976
30,0.0089321428571428,0.0087857142857142,0.0090785714285714,387,4.094477117981751,4.095526935190154,29.19896640826873,29.19896640826873
31,0.009225,0.0090785714285714,0.0093714285714285,349,2.5162150284034666,2.51858216370986,28.939828080229223,28.939828080229223
32,0.0095178571428571,0.0093714285714285,0.0096642857142857,334,3.7292225221832775,3.736752589686728,32.93413173652694,32.93413173652694
33,0.0098107142857142,0.0096642857142857,0.0099571428571428,330,5.512148894266034,5.542485499947409,29.6969696969697,29.6969696969697
34,0.0101035714285714,0.0099571428571428,0.01025,308,5.037434131488178,5.064590131409314,32.467532467532465,32.467532467532465
35,0.0103964285714285,0.01025,0.0105428571428571,246,2.632818851122358,2.6462607460335783,28.455284552845526,28.455284552845526
36,0.0106892857142857,0.0105428571428571,0.0108357142857142,212,3.8340175866486894,3.8646307861761775,31.60377358490566,31.60377358490566
37,0.0109821428571428,0.0108357142857142,0.0111285714285714,196,1.3929120179955885,1.408621087832812,28.57142857142857,28.57142857142857
38,0.011275,0.0111285714285714,0.0114214285714285,190,4.365904681141599,4.391503265984725,29.47368421052631,29.47368421052631
39,0.0115678571428571,0.0114214285714285,0.0117142857142857,202,6.978675371422503,7.011017301041127,34.65346534653465,34.65346534653465
40,0.0118607142857142,0.0117142857142857,0.0120071428571428,184,4.72918603929618,4.753637410678974,30.97826086956521,30.97826086956521
41,0.0121535714285714,0.0120071428571428,0.0123,2035,4.024848016539373,4.057014626759686,32.57985257985258,32.57985257985258
