outcome,city,city_key,gii_group,region,gini,population_fraction,activity_fraction
night_female,Hong Kong,hong_kong,Low,East Asia,0.8887622846644305,0.1437592867756315,0.0
night_female,Hong Kong,hong_kong,Low,East Asia,0.8887622846644305,0.14635958395245172,0.0
night_female,Hong Kong,hong_kong,Low,East Asia,0.8887622846644305,0.1485884101040119,0.0
night_female,Hong Kong,hong_kong,Low,East Asia,0.8887622846644305,0.15118870728083209,0.0
night_female,Hong Kong,hong_kong,Low,East Asia,0.8887622846644305,0.1537890044576523,0.0
night_female,Hong Kong,hong_kong,Low,East Asia,0.8887622846644305,0.15601783060921248,0.0
night_female,Hong Kong,hong_kong,Low,East Asia,0.8887622846644305,0.15861812778603268,0.0
night_female,Hong Kong,hong_kong,Low,East Asia,0.8887622846644305,0.1612184249628529,0.0
night_female,Hong Kong,hong_kong,Low,East Asia,0.8887622846644305,0.16344725111441308,0.0
night_female,Hong Kong,hong_kong,Low,East Asia,0.8887622846644305,0.16604754829123328,0.0
night_female,Hong Kong,hong_kong,Low,East Asia,0.8887622846644305,0.1686478454680535,0.0
night_female,Hong Kong,hong_kong,Low,East Asia,0.8887622846644305,0.17087667161961367,0.0
night_female,Hong Kong,hong_kong,Low,East Asia,0.8887622846644305,0.17347696879643387,0.0
night_female,Hong Kong,hong_kong,Low,East Asia,0.8887622846644305,0.1760772659732541,0.0
night_female,Hong Kong,hong_kong,Low,East Asia,0.8887622846644305,0.17830609212481427,0.0
night_female,Hong Kong,hong_kong,Low,East Asia,0.8887622846644305,0.18090638930163447,0.0
night_female,Hong Kong,hong_kong,Low,East Asia,0.8887622846644305,0.18350668647845467,0.0
night_female,Hong Kong,hong_kong,Low,East Asia,0.8887622846644305,0.18573551263001487,0.0
night_female,Hong Kong,hong_kong,Low,East Asia,0.8887622846644305,0.18833580980683506,0.0
night_female,Hong Kong,hong_kong,Low,East Asia,0.8887622846644305,0.19093610698365526,0.0
night_female,Hong Kong,hong_kong,Low,East Asia,0.8887622846644305,0.19316493313521546,0.0
night_female,Hong Kong,hong_kong,Low,East Asia,0.8887622846644305,0.19576523031203566,0.0
night_female,Hong Kong,hong_kong,Low,East Asia,0.8887622846644305,0.19836552748885586,0.0
night_female,Hong Kong,hong_kong,Low,East Asia,0.8887622846644305,0.20059435364041606,0.0
night_female,Hong Kong,hong_kong,Low,East Asia,0.8887622846644305,0.20319465081723626,0.0
night_female,Hong Kong,hong_kong,Low,East Asia,0.8887622846644305,0.20579494799405645,0.0
night_female,Hong Kong,hong_kong,Low,East Asia,0.8887622846644305,0.20802377414561665,0.0
